"legacy_url","legacy_title","previous_classification","selected_for_wave4","final_outcome","final_public_url","evidence","valid_closure_yes_no"
"https://chamanlawfirm.com/0btain-guide-on-how-to-obtain-tax","0btain Guide On How To Obtain Tax","LIVE_BLOG_CANONICAL","yes","200_NEW_CANONICAL","https://chamanlawfirm.com/resources/blog/0btain-guide-on-how-to-obtain-tax","Sanity public slug evidence","yes"
"https://chamanlawfirm.com/10-proven-insights-into-tenancy-law-in-lago","10 Proven Insights Into Tenancy Law In Lago","LIVE_BLOG_CANONICAL","yes","200_NEW_CANONICAL","https://chamanlawfirm.com/resources/blog/10-proven-insights-into-tenancy-law-in-lago","Sanity public slug evidence","yes"
"https://chamanlawfirm.com/3-proven-steps-on-how-to-rolve-land-disputes","3 Proven Steps On How To Rolve Land Disputes","LIVE_BLOG_CANONICAL","yes","200_NEW_CANONICAL","https://chamanlawfirm.com/resources/blog/3-proven-steps-on-how-to-rolve-land-disputes","Sanity public slug evidence","yes"
"https://chamanlawfirm.com/4-main-guide-to-land-ownership-in-nigeria","4 Main Guide To Land Ownership In Nigeria","LIVE_BLOG_CANONICAL","yes","200_NEW_CANONICAL","https://chamanlawfirm.com/resources/blog/4-main-guide-to-land-ownership-in-nigeria","Sanity public slug evidence","yes"
"https://chamanlawfirm.com/4-proven-cross-border-cybercrime-issues","4 Proven Cross Border Cybercrime Issues","LIVE_BLOG_CANONICAL","yes","200_NEW_CANONICAL","https://chamanlawfirm.com/resources/blog/4-proven-cross-border-cybercrime-issues","Sanity public slug evidence","yes"
"https://chamanlawfirm.com/4-proven-features-of-customary-marriage-and-the-bill-of-rights-conflicting-interests","4 Proven Features Of Customary Marriage And The Bill Of Rights Conflicting Interests","LIVE_BLOG_CANONICAL","yes","200_NEW_CANONICAL","https://chamanlawfirm.com/resources/blog/4-proven-features-of-customary-marriage-and-the-bill-of-rights-conflicting-interests","Sanity public slug evidence","yes"
"https://chamanlawfirm.com/4-proven-steps-on-how-to-enforce-a-contract","4 Proven Steps On How To Enforce A Contract","LIVE_BLOG_CANONICAL","yes","200_NEW_CANONICAL","https://chamanlawfirm.com/resources/blog/4-proven-steps-on-how-to-enforce-a-contract","Sanity public slug evidence","yes"
"https://chamanlawfirm.com/5-lis-pendens-understanding-the-doctrine","5 Lis Pendens Understanding The Doctrine","LIVE_BLOG_CANONICAL","yes","200_NEW_CANONICAL","https://chamanlawfirm.com/resources/blog/5-lis-pendens-understanding-the-doctrine","Sanity public slug evidence","yes"
"https://chamanlawfirm.com/5-proven-roles-of-a-child-adoption-lawyer","5 Proven Roles Of A Child Adoption Lawyer","LIVE_BLOG_CANONICAL","yes","200_NEW_CANONICAL","https://chamanlawfirm.com/resources/blog/5-proven-roles-of-a-child-adoption-lawyer","Sanity public slug evidence","yes"
"https://chamanlawfirm.com/5-ways-to-avoid-property-scam-in-nigeria","5 Ways To Avoid Property Scam In Nigeria","LIVE_BLOG_CANONICAL","yes","200_NEW_CANONICAL","https://chamanlawfirm.com/resources/blog/5-ways-to-avoid-property-scam-in-nigeria","Sanity public slug evidence","yes"
